domain,maturity_label,iso_maturity,el_mean,rri_mean,var_95,var_99,cvar_99,tail_premium,el_std,p_extreme
Fraud Detection,weak,0.3,5.9463,4.147,11.2627,63.5253,234.1944,170.6691,72.1787,0.0213
Fraud Detection,medium,0.6,5.9463,2.3631,6.4082,35.7953,133.4319,97.6366,72.1787,0.01246
Fraud Detection,strong,0.8,5.9463,1.1739,3.1628,17.8315,66.5285,48.6969,72.1787,0.00592
Credit Scoring,weak,0.3,1156.2931,809.2053,1489.7236,1994.1914,2318.0482,323.8568,508.6284,0.0
Credit Scoring,medium,0.6,1156.2931,462.3173,859.6136,1159.2142,1351.9005,192.6863,508.6284,0.0
Credit Scoring,strong,0.8,1156.2931,231.0596,455.2032,622.8928,731.3762,108.4834,508.6284,0.0
AML Detection,weak,0.3,20153.3004,14055.8676,42949.5136,215649.605,709244.319,493594.714,199624.9414,0.0224
AML Detection,medium,0.6,20153.3004,8009.8775,24347.5241,121251.4411,404021.3644,282769.9233,199624.9414,0.01282
AML Detection,strong,0.8,20153.3004,3979.219,12051.7195,60315.9328,201538.2085,141222.2756,199624.9414,0.00572
Algorithmic Trading,weak,0.3,56610.7733,39621.4027,58769.7605,69869.6575,76404.5818,6534.9243,14475.6768,0.0
Algorithmic Trading,medium,0.6,56610.7733,22638.1707,34382.2719,41326.9035,45261.3659,3934.4625,14475.6768,0.0
Algorithmic Trading,strong,0.8,56610.7733,11316.0618,18723.7054,23102.6024,25590.2853,2487.6829,14475.6768,0.0
